subject_id,filename,source_path,calibration_path,split
1,1_7.bmp,dataset/preprocessed/1/1_7.bmp,dataset/calibration/1/1_7.bmp,train
2,2_3.bmp,dataset/preprocessed/2/2_3.bmp,dataset/calibration/2/2_3.bmp,train
3,3_7.bmp,dataset/preprocessed/3/3_7.bmp,dataset/calibration/3/3_7.bmp,train
4,4_7.bmp,dataset/preprocessed/4/4_7.bmp,dataset/calibration/4/4_7.bmp,train
5,5_9.bmp,dataset/preprocessed/5/5_9.bmp,dataset/calibration/5/5_9.bmp,train
6,6_8.bmp,dataset/preprocessed/6/6_8.bmp,dataset/calibration/6/6_8.bmp,train
7,7_5.bmp,dataset/preprocessed/7/7_5.bmp,dataset/calibration/7/7_5.bmp,train
8,8_1.bmp,dataset/preprocessed/8/8_1.bmp,dataset/calibration/8/8_1.bmp,train
9,9_6.bmp,dataset/preprocessed/9/9_6.bmp,dataset/calibration/9/9_6.bmp,train
10,10_4.bmp,dataset/preprocessed/10/10_4.bmp,dataset/calibration/10/10_4.bmp,train
11,11_2.bmp,dataset/preprocessed/11/11_2.bmp,dataset/calibration/11/11_2.bmp,train
12,12_9.bmp,dataset/preprocessed/12/12_9.bmp,dataset/calibration/12/12_9.bmp,train
13,13_3.bmp,dataset/preprocessed/13/13_3.bmp,dataset/calibration/13/13_3.bmp,train
14,14_8.bmp,dataset/preprocessed/14/14_8.bmp,dataset/calibration/14/14_8.bmp,train
15,15_3.bmp,dataset/preprocessed/15/15_3.bmp,dataset/calibration/15/15_3.bmp,train
16,16_3.bmp,dataset/preprocessed/16/16_3.bmp,dataset/calibration/16/16_3.bmp,train
17,17_7.bmp,dataset/preprocessed/17/17_7.bmp,dataset/calibration/17/17_7.bmp,train
18,18_4.bmp,dataset/preprocessed/18/18_4.bmp,dataset/calibration/18/18_4.bmp,train
19,19_1.bmp,dataset/preprocessed/19/19_1.bmp,dataset/calibration/19/19_1.bmp,train
20,20_5.bmp,dataset/preprocessed/20/20_5.bmp,dataset/calibration/20/20_5.bmp,train
21,21_10.bmp,dataset/preprocessed/21/21_10.bmp,dataset/calibration/21/21_10.bmp,train
22,22_3.bmp,dataset/preprocessed/22/22_3.bmp,dataset/calibration/22/22_3.bmp,train
23,23_4.bmp,dataset/preprocessed/23/23_4.bmp,dataset/calibration/23/23_4.bmp,train
